id,temperature,created_at,sound,light,dust,fan,motion
"'6694', ","'26.02',"," '2026-05-07  22:53:15',"," '18.27',"," '255',"," '0.0244',"," '1',", '0'
"'6695', ","'26.46',"," '2026-05-07  22:53:30',"," '16.8', ","'255', ","'0.0326', ","'1', ",'0'
"'6696', ","'26.45',"," '2026-05-07  22:53:45',"," '19.45',"," '255',"," '0.0323',"," '1',", '1'
"'6697', ","'26.39',"," '2026-05-07  22:54:00',"," '15.46',"," '255',"," '0.0196',"," '1',", '0'
"'6698', ","'26.1', ","'2026-05-07  22:54:15', ","'15.82', ","'255', ","'0.0246', ","'1', ",'0'
"'6699', ","'25.96',"," '2026-05-07  22:54:30',"," '15.86',"," '255',"," '0.0219',"," '0',", '0'
"'6700', ","'26.32',"," '2026-05-07  22:54:45',"," '17.08',"," '255',"," '0.0327',"," '1',", '0'
"'6701', ","'26.24',"," '2026-05-07  22:55:00',"," '14.66',"," '255',"," '0.0262',"," '1',", '1'
"'6702', ","'26.32',"," '2026-05-07  22:55:15',"," '14.54',"," '255',"," '0.0214',"," '1',", '0'
"'6703', ","'25.93',"," '2026-05-07  22:55:30',"," '15.92',"," '255',"," '0.0321',"," '0',", '1'
"'6704', ","'26.44',"," '2026-05-07  22:55:45',"," '19.13',"," '255',"," '0.0311',"," '1',", '0'
"'6705', ","'26.12',"," '2026-05-07  22:56:00',"," '15.1', ","'255', ","'0.0267', ","'1', ",'0'
"'6706', ","'26.05',"," '2026-05-07  22:56:15',"," '14.44',"," '255',"," '0.0311',"," '1',", '0'
"'6707', ","'26.06',"," '2026-05-07  22:56:30',"," '16.4', ","'255', ","'0.0337', ","'1', ",'0'
"'6708', ","'26.23',"," '2026-05-07  22:56:45',"," '13.32',"," '255',"," '0.0187',"," '1',", '0'
"'6709', ","'26', '2","026-05-07 22 :57:00', '1","61.8', '2","55', '0",".0227', '1","', '0",'
"'6710', ","'26.37',"," '2026-05-07  22:57:15',"," '13.28',"," '255',"," '0.0257',"," '1',", '1'
"'6711', ","'26.04',"," '2026-05-07  22:57:30',"," '13.45',"," '255',"," '0.0206',"," '1',", '0'
"'6712', ","'26.39',"," '2026-05-07  22:57:45',"," '13.09',"," '255',"," '0.0088',"," '1',", '0'
"'6713', ","'26.24',"," '2026-05-07  22:58:00',"," '14.5', ","'255', ","'0.024', '","1', '",1'
"'6714', ","'26.07',"," '2026-05-07  22:58:15',"," '17.86',"," '255',"," '0.0165',"," '1',", '0'
"'6715', ","'26.25',"," '2026-05-07  22:58:30',"," '10.9', ","'255', ","'0.0221', ","'1', ",'0'
"'6716', ","'26.23',"," '2026-05-07  22:58:45',"," '12.13',"," '255',"," '0.0282',"," '1',", '0'
"'6717', ","'25.99',"," '2026-05-07  22:59:00',"," '10.47',"," '255',"," '0.0092',"," '0',", '0'
"'6718', ","'26.18',"," '2026-05-07  22:59:15',"," '17', '2","55', '0",".024', '1'",", '0'",
"'6719', ","'26.23',"," '2026-05-07  22:59:30',"," '17.65',"," '255',"," '0.0248',"," '1',", '0'
"'6720', ","'26.31',"," '2026-05-07  22:59:45',"," '17.98',"," '255',"," '0.0284',"," '1',", '0'
"'6721', ","'25.98',"," '2026-05-07  23:00:00',"," '13.99',"," '255',"," '0.0211',"," '0',", '1'
"'6722', ","'26.05',"," '2026-05-07  23:00:15',"," '9.6', '","255', '","0.0286', '","1', '",0'
